acao,cnpj,setor,subsetor,segmento
lpsb3,08.078.847/0001-09,Financeiro e Outros,Exploração de Imóveis,Intermediação Imobiliária
lren3,92.754.738/0001-62,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
ltel3b,00.743.065/0001-27,Materiais Básicos,Mineração,Minerais Metálicos
lupa3,89.463.822/0001-12,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços
luxm3,92.660.570/0001-26,Bens Industriais,Transporte,Transporte Hidroviário
luxm4,92.660.570/0001-26,Bens Industriais,Transporte,Transporte Hidroviário
lvtc3,05.917.486/0001-40,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
lwsa3,02.351.877/0001-52,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
mapt3,93.828.986/0001-73,Financeiro e Outros,Outros,Outros
mapt4,93.828.986/0001-73,Financeiro e Outros,Outros,Outros
matd3,16.676.520/0001-59,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
mbly3,31.553.627/0001-01,Consumo Cíclico,Comércio,Produtos Diversos
mdia3,07.206.816/0001-15,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
mdne3,12.049.631/0001-84,Consumo Cíclico,Construção Civil,Incorporações
meal3,17.314.329/0001-20,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
mega3,42.500.384/0001-51,Utilidade Pública,Energia Elétrica,Energia Elétrica
melk3,12.181.987/0001-77,Consumo Cíclico,Construção Civil,Incorporações
merc3,33.040.601/0001-87,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento
merc4,33.040.601/0001-87,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento
mgel3,61.065.298/0001-02,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
mgel4,61.065.298/0001-02,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
mglu3,47.960.950/0001-21,Consumo Cíclico,Comércio,Eletrodomésticos
mils3,27.093.558/0001-15,Bens Industriais,Serviços,Serviços Diversos
mlas3,59.717.553/0001-02,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
mmxm3,02.762.115/0001-49,Materiais Básicos,Mineração,Minerais Metálicos
mndl3,88.610.191/0001-54,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios
mnpr3,90.076.886/0001-40,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
moar3,33.102.476/0001-92,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
modl11,30.723.886/0001-62,Financeiro e Outros,Intermediários Financeiros,Bancos
modl3,30.723.886/0001-62,Financeiro e Outros,Intermediários Financeiros,Bancos
modl4,30.723.886/0001-62,Financeiro e Outros,Intermediários Financeiros,Bancos
mosi3,09.083.175/0001-84,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
movi3,21.314.559/0001-66,Consumo Cíclico,Diversos,Aluguel de carros
mrfg3,03.853.896/0001-40,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
mrsa3b,01.417.222/0001-77,Bens Industriais,Transporte,Transporte Ferroviário
mrsa5b,01.417.222/0001-77,Bens Industriais,Transporte,Transporte Ferroviário
mrsa6b,01.417.222/0001-77,Bens Industriais,Transporte,Transporte Ferroviário
mrve3,08.343.492/0001-20,Consumo Cíclico,Construção Civil,Incorporações
mspa3,60.730.348/0001-66,Consumo Cíclico,Mídia,Jornais. Livros e Revistas
mspa4,60.730.348/0001-66,Consumo Cíclico,Mídia,Jornais. Livros e Revistas
msro3,08.795.211/0001-70,Consumo Cíclico,Diversos,Aluguel de carros
mtig3,80.227.184/0001-66,Materiais Básicos,Embalagens,Embalagens
mtig4,80.227.184/0001-66,Materiais Básicos,Embalagens,Embalagens
mtre3,07.882.930/0001-65,Consumo Cíclico,Construção Civil,Incorporações
mtsa3,86.375.425/0001-09,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
mtsa4,86.375.425/0001-09,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
mult3,07.816.890/0001-53,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
mwet3,84.683.671/0001-94,Bens Industriais,Material de Transporte,Material Rodoviário
mwet4,84.683.671/0001-94,Bens Industriais,Material de Transporte,Material Rodoviário
mypk3,61.156.113/0001-75,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
nafg3,61.067.161/0001-97,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
nafg4,61.067.161/0001-97,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
nemo3,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose
nemo5,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose
nemo6,60.651.809/0001-05,Materiais Básicos,Madeira e Papel,Papel e Celulose
neoe3,01.083.200/0001-18,Utilidade Pública,Energia Elétrica,Energia Elétrica
nexp3,08.613.550/0001-98,Financeiro e Outros,Exploração de Imóveis,Intermediação Imobiliária
ngrd3,10.139.870/0001-08,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
ninj3,14.127.813/0001-51,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
nord3,60.884.319/0001-59,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
nrtq3,29.950.060/0001-57,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
ntco3,32.785.497/0001-97,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
nutr3,51.128.999/0001-90,Materiais Básicos,Químicos,Fertilizantes e Defensivos
oder4,97.191.902/0001-94,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
odpv3,58.119.199/0001-51,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
ofsa3,20.258.278/0001-70,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
ogxp3,07.957.093/0001-96,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
oibr3,76.535.764/0001-43,Comunicações,Telecomunicações,Telecomunicações
oibr4,76.535.764/0001-43,Comunicações,Telecomunicações,Telecomunicações
omge3,09.149.503/0001-06,Utilidade Pública,Energia Elétrica,Energia Elétrica
onco3,12.104.241/0004-02,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
opct3,09.114.805/0001-30,Bens Industriais,Transporte,Transporte Hidroviário
orvr3,11.421.994/0001-36,Utilidade Pública,Água e Saneamento,Água e Saneamento
osxb3,09.112.685/0001-32,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços
pard3,19.378.769/0001-76,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
pati3,92.693.019/0001-89,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
pati4,92.693.019/0001-89,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
pcar3,47.508.411/0001-56,Consumo não Cíclico,Comércio e Distribuição,Alimentos
pcar4,47.508.411/0001-56,Consumo não Cíclico,Comércio e Distribuição,Alimentos
pdgr3,02.950.811/0001-89,Consumo Cíclico,Construção Civil,Incorporações
pdtc3,02.365.069/0001-44,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
peab3,01.938.783/0001-11,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
peab4,01.938.783/0001-11,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas
petr3,33.000.167/0001-01,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
petr4,33.000.167/0001-01,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
petz3,18.328.118/0001-09,Consumo Cíclico,Comércio,Produtos Diversos
