TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GMAT3;4,17;;11,51;1,40;0,88;22,95;5,64;4,68;9,55;11,08;1,53;0,22;0,54;2,02;-2,29;3,44;12,12;7,65;10,76;0,63;0,36;1,63;;;23.714.389,52;2,99;0,36;3,34;9.212.973.149,43
GNDI3;66,95;2,41;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;614.805.285,20;11,47;-0,02;35,34;41.526.443.086,05
GOAU3;10,85;22,30;2,26;0,81;0,16;26,97;27,26;6,35;0,53;0,75;0,20;0,30;0,14;0,57;-0,31;2,49;35,71;7,23;30,21;0,20;0,40;1,14;15,78;;753.674,21;13,47;4,81;0,01;12.540.384.726,49
GOAU4;11,88;20,37;2,47;0,88;0,18;26,97;27,26;6,35;0,58;0,75;0,20;0,30;0,16;0,62;-0,34;2,49;35,71;7,23;30,21;0,20;0,40;1,14;15,78;;110.267.032,34;13,47;4,81;0,01;12.540.384.726,49
GOLL4;12,33;;-18,92;-2,18;2,54;-5,35;-35,60;-22,95;-12,20;-4,64;-3,04;;4,34;-4,52;-3,06;0,23;-11,51;-13,44;42,37;-1,17;2,17;0,59;-5,51;;97.716.541,38;-5,66;-0,65;0,28;5.159.951.010,63
GPAR3;29,50;;2,90;2,07;0,95;79,86;433,13;292,34;1,95;0,34;-1,61;-1,71;8,46;3,45;-4,86;1,52;71,41;32,94;70,31;0,46;0,54;0,11;-9,31;-11,27;2.950,00;14,27;10,19;0,01;2.298.888.744,00
GPIV33;4,89;;0,31;0,13;0,06;100,00;88,19;59,86;0,21;-0,47;-0,68;-0,41;0,18;0,31;-0,08;6,29;40,77;19,58;33,33;0,48;0,17;0,33;6,19;59,10;334.382,34;38,88;15,85;0,00;218.999.877,39
GRAO3;0,00;;0,00;0,00;0,00;-2,61;-3,39;-0,47;0,00;-1,59;-1,59;27,07;0,00;0,00;0,00;0,95;-237,54;-1,61;-27,29;0,01;0,97;3,42;;;;0,07;-0,16;0,00;0,00
GRND3;8,23;5,35;12,43;1,80;1,61;42,36;14,37;25,56;22,11;18,67;-3,44;-0,28;3,18;3,04;-4,24;7,00;14,48;12,97;6,50;0,90;0,10;0,51;2,75;-1,20;14.667.765,14;4,57;0,66;0,68;7.424.776.800,00
GSHP3;26,00;;0,75;-0,09;0,03;73,86;39,72;47,33;0,89;28,30;27,40;;0,36;2,55;-0,04;1,08;-11,90;4,40;3,52;-0,37;1,37;0,09;-12,81;-18,29;6.469,27;-290,85;34,63;-0,01;50.147.994,00
GUAR3;7,97;6,65;8,33;0,77;0,28;55,05;5,56;6,20;9,28;13,64;4,36;0,36;0,52;1,50;-0,71;1,45;9,26;3,39;2,02;0,37;0,63;0,55;4,05;8,52;12.382.168,31;10,34;0,96;-0,01;3.978.624.000,00
