acao,cnpj,setor,subsetor,segmento,codigo,indice
suzb3,16.404.287/0001-55,Materiais Básicos,Madeira e Papel,Papel e Celulose,suzb,3
syne3,08.801.621/0001-86,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,syne,3
taee11,07.859.971/0001-30,Utilidade Pública,Energia Elétrica,Energia Elétrica,taee,11
tasa4,92.781.335/0001-02,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,tasa,4
tcno4,33.111.246/0001-90,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,tcno,4
tcsa3,08.065.557/0001-12,Consumo Cíclico,Construção Civil,Incorporações,tcsa,3
tecn3,09.295.063/0001-97,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,tecn,3
teka4,82.636.986/0001-55,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,teka,4
telb4,00.336.701/0001-04,Comunicações,Telecomunicações,Telecomunicações,telb,4
tend3,71.476.527/0001-35,Consumo Cíclico,Construção Civil,Incorporações,tend,3
tesa3,05.799.312/0001-20,Consumo não Cíclico,Agropecuária,Agricultura,tesa,3
tfco4,59.418.806/0001-47,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,tfco,4
tgma3,02.351.144/0001-18,Bens Industriais,Transporte,Transporte Rodoviário,tgma,3
tiet11,04.128.563/0001-10,Utilidade Pública,Energia Elétrica,Energia Elétrica,tiet,11
tims3,02.421.421/0001-11,Comunicações,Telecomunicações,Telecomunicações,tims,3
tkno4,33.467.572/0001-34,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,tkno,4
tots3,53.113.791/0001-22,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,tots,3
toyb4,22.770.366/0001-82,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,toyb,4
tpis3,03.014.553/0001-91,Bens Industriais,Transporte,Exploração de Rodovias,tpis,3
trad3,26.345.998/0001-50,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,trad,3
tris3,08.811.643/0001-27,Consumo Cíclico,Construção Civil,Incorporações,tris,3
trpl4,02.998.611/0001-04,Utilidade Pública,Energia Elétrica,Energia Elétrica,trpl,4
tten3,94.813.102/0001-70,Consumo não Cíclico,Agropecuária,Agricultura,tten,3
tupy3,84.683.374/0001-49,Bens Industriais,Material de Transporte,Material Rodoviário,tupy,3
txrx4,82.982.075/0001-80,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,txrx,4
ucas3,90.441.460/0001-48,Consumo Cíclico,Utilidades Domésticas,Móveis,ucas,3
ugpa3,33.256.439/0001-39,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,ugpa,3
unip3,33.958.695/0001-78,Materiais Básicos,Químicos,Químicos Diversos,unip,3
usim3,60.894.730/0001-05,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,usim,3
vale3,33.592.510/0001-54,Materiais Básicos,Mineração,Minerais Metálicos,vale,3
vamo3,23.373.000/0001-32,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,vamo,3
vbbr3,34.274.233/0001-02,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,vbbr,3
viia3,33.041.260/0652-90,Consumo Cíclico,Comércio,Eletrodomésticos,viia,3
vitt3,45.365.558/0001-09,Materiais Básicos,Químicos,Fertilizantes e Defensivos,vitt,3
viva3,33.839.910/0001-11,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,viva,3
vivr3,67.571.414/0001-41,Consumo Cíclico,Construção Civil,Incorporações,vivr,3
vivt4,02.558.157/0001-62,Comunicações,Telecomunicações,Telecomunicações,vivt,4
vlid3,33.113.309/0001-47,Bens Industriais,Serviços,Serviços Diversos,vlid,3
vspt4,00.924.429/0001-75,Bens Industriais,Transporte,Transporte Ferroviário,vspt,4
vulc3,50.926.955/0001-42,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,vulc,3
vveo3,12.420.164/0001-57,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,vveo,3
wege3,84.429.695/0001-11,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,wege,3
west3,14.776.142/0001-50,Consumo Cíclico,Comércio,Produtos Diversos,west,3
whrl4,59.105.999/0001-86,Consumo Cíclico,Comércio,Eletrodomésticos,whrl,4
wizs3,42.278.473/0001-03,Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros,wizs,3
wlmm4,33.228.024/0001-51,Bens Industriais,Comércio,Material de Transporte,wlmm,4
yduq3,08.807.432/0001-10,Consumo Cíclico,Diversos,Serviços Educacionais,yduq,3
